,high date,high close,next high date,next high close,date diff,close diff,close diff (%)
21928,2015-04-24,2117.689941,2015-05-14,2121.100098,20.0,3.41,0.161
21942,2015-05-14,2121.100098,2015-05-15,2122.72998,1.0,1.63,0.077
21943,2015-05-15,2122.72998,2015-05-18,2129.199951,3.0,6.47,0.305
21944,2015-05-18,2129.199951,2015-05-21,2130.820068,3.0,1.62,0.076
21947,2015-05-21,2130.820068,2016-07-11,2137.159912,417.0,6.34,0.298
22233,2016-07-11,2137.159912,2016-07-12,2152.139893,1.0,14.98,0.701
22234,2016-07-12,2152.139893,2016-07-13,2152.429932,1.0,0.29,0.013
22235,2016-07-13,2152.429932,2016-07-14,2163.75,1.0,11.32,0.526
22236,2016-07-14,2163.75,2016-07-18,2166.889893,4.0,3.14,0.145
22238,2016-07-18,2166.889893,2016-07-20,2173.02002,2.0,6.13,0.283
22240,2016-07-20,2173.02002,2016-07-22,2175.030029,2.0,2.01,0.092
22242,2016-07-22,2175.030029,2016-08-05,2182.8701170000004,14.0,7.84,0.36
22252,2016-08-05,2182.8701170000004,2016-08-11,2185.790039,6.0,2.92,0.134
22256,2016-08-11,2185.790039,2016-08-15,2190.149902,4.0,4.36,0.199
22258,2016-08-15,2190.149902,2016-11-21,2198.179932,98.0,8.03,0.367
22327,2016-11-21,2198.179932,2016-11-22,2202.939941,1.0,4.76,0.217
22328,2016-11-22,2202.939941,2016-11-23,2204.719971,1.0,1.78,0.081
22329,2016-11-23,2204.719971,2016-11-25,2213.350098,2.0,8.63,0.391
22330,2016-11-25,2213.350098,2016-12-07,2241.350098,12.0,28.0,1.265
22338,2016-12-07,2241.350098,2016-12-08,2246.189941,1.0,4.84,0.216
22339,2016-12-08,2246.189941,2016-12-09,2259.530029,1.0,13.34,0.594
22340,2016-12-09,2259.530029,2016-12-13,2271.719971,4.0,12.19,0.539
22342,2016-12-13,2271.719971,2017-01-06,2276.97998,24.0,5.26,0.232
22358,2017-01-06,2276.97998,2017-01-24,2280.070068,18.0,3.09,0.136
22369,2017-01-24,2280.070068,2017-01-25,2298.3701170000004,1.0,18.3,0.803
22370,2017-01-25,2298.3701170000004,2017-02-09,2307.8701170000004,15.0,9.5,0.413
22381,2017-02-09,2307.8701170000004,2017-02-10,2316.100098,1.0,8.23,0.357
22382,2017-02-10,2316.100098,2017-02-13,2328.25,3.0,12.15,0.525
22383,2017-02-13,2328.25,2017-02-14,2337.580078,1.0,9.33,0.401
22384,2017-02-14,2337.580078,2017-02-15,2349.25,1.0,11.67,0.499
22385,2017-02-15,2349.25,2017-02-17,2351.159912,2.0,1.91,0.081
22387,2017-02-17,2351.159912,2017-02-21,2365.3798829999996,4.0,14.22,0.605
22388,2017-02-21,2365.3798829999996,2017-02-24,2367.340088,3.0,1.96,0.083
22391,2017-02-24,2367.340088,2017-02-27,2369.75,3.0,2.41,0.102
22392,2017-02-27,2369.75,2017-03-01,2395.959961,2.0,26.21,1.106
22394,2017-03-01,2395.959961,2017-05-05,2399.290039,65.0,3.33,0.139
22440,2017-05-05,2399.290039,2017-05-08,2399.3798829999996,3.0,0.09,0.004
22441,2017-05-08,2399.3798829999996,2017-05-10,2399.6298829999996,2.0,0.25,0.01
22443,2017-05-10,2399.6298829999996,2017-05-15,2402.320068,5.0,2.69,0.112
22446,2017-05-15,2402.320068,2017-05-24,2404.389893,9.0,2.07,0.086
22453,2017-05-24,2404.389893,2017-05-25,2415.070068,1.0,10.68,0.444
22454,2017-05-25,2415.070068,2017-05-26,2415.820068,1.0,0.75,0.031
22455,2017-05-26,2415.820068,2017-06-01,2430.060059,6.0,14.24,0.589
22458,2017-06-01,2430.060059,2017-06-02,2439.070068,1.0,9.01,0.371
22459,2017-06-02,2439.070068,2017-06-13,2440.350098,11.0,1.28,0.052
22466,2017-06-13,2440.350098,2017-06-19,2453.459961,6.0,13.11,0.537
22470,2017-06-19,2453.459961,2017-07-14,2459.27002,25.0,5.81,0.237
22488,2017-07-14,2459.27002,2017-07-18,2460.610107,4.0,1.34,0.054
22490,2017-07-18,2460.610107,2017-07-19,2473.830078,1.0,13.22,0.537
22491,2017-07-19,2473.830078,2017-07-25,2477.1298829999996,6.0,3.3,0.133
22495,2017-07-25,2477.1298829999996,2017-07-26,2477.830078,1.0,0.7,0.028
22496,2017-07-26,2477.830078,2017-08-07,2480.909912,12.0,3.08,0.124
22504,2017-08-07,2480.909912,2017-09-11,2488.110107,35.0,7.2,0.29
22528,2017-09-11,2488.110107,2017-09-12,2496.47998,1.0,8.37,0.336
22529,2017-09-12,2496.47998,2017-09-13,2498.3701170000004,1.0,1.89,0.076
22530,2017-09-13,2498.3701170000004,2017-09-15,2500.22998,2.0,1.86,0.074
22532,2017-09-15,2500.22998,2017-09-18,2503.8701170000004,3.0,3.64,0.146
22533,2017-09-18,2503.8701170000004,2017-09-19,2506.649902,1.0,2.78,0.111
22534,2017-09-19,2506.649902,2017-09-20,2508.23999,1.0,1.59,0.063
22535,2017-09-20,2508.23999,2017-09-28,2510.060059,8.0,1.82,0.073
22541,2017-09-28,2510.060059,2017-09-29,2519.360107,1.0,9.3,0.371
22542,2017-09-29,2519.360107,2017-10-02,2529.1201170000004,3.0,9.76,0.387
22543,2017-10-02,2529.1201170000004,2017-10-03,2534.580078,1.0,5.46,0.216
22544,2017-10-03,2534.580078,2017-10-04,2537.73999,1.0,3.16,0.125
22545,2017-10-04,2537.73999,2017-10-05,2552.070068,1.0,14.33,0.565
22546,2017-10-05,2552.070068,2017-10-11,2555.23999,6.0,3.17,0.124
22550,2017-10-11,2555.23999,2017-10-16,2557.639893,5.0,2.4,0.094
22553,2017-10-16,2557.639893,2017-10-17,2559.360107,1.0,1.72,0.067
22554,2017-10-17,2559.360107,2017-10-18,2561.26001,1.0,1.9,0.074
22555,2017-10-18,2561.26001,2017-10-19,2562.100098,1.0,0.84,0.033
22556,2017-10-19,2562.100098,2017-10-20,2575.209961,1.0,13.11,0.512
22557,2017-10-20,2575.209961,2017-10-27,2581.070068,7.0,5.86,0.228
