time interval,start year,end year,"start, end month",start price,end price,return (%),annual return (%)
38,1944,1982,6,12.31,111.68,807.2298943948009,5.974917761464504
38,1944,1982,7,13.11,108.709999,729.2143325705568,5.724451842792444
38,1944,1982,8,12.78,108.980003,752.7386776212833,5.802311719509845
38,1944,1982,9,12.86,118.25,819.5178849144636,6.012444014180085
38,1944,1982,10,12.8,121.970001,852.8906328124998,6.111948884494556
38,1944,1982,11,12.83,135.470001,955.8846531566641,6.3989337300840665
38,1944,1982,12,12.8,138.720001,983.7500078124998,6.471893262045003
38,1945,1983,1,13.33,138.33999599999999,937.8094223555887,6.3505982066004
38,1945,1983,2,13.5,142.96000700000002,958.963014814815,6.407085298309134
38,1945,1983,3,14.32,150.880005,953.6313198324024,6.392952172977351
38,1945,1983,4,13.77,153.020004,1011.2563834422658,6.542143034890979
38,1945,1983,5,14.79,162.110001,996.0784381338744,6.503591572577583
38,1945,1983,6,15.03,162.550003,981.5036793080507,6.466079809173375
38,1945,1983,7,15.03,168.639999,1022.022614770459,6.569179319808893
38,1945,1983,8,14.68,162.03999299999998,1003.8146662125339,6.523305825377257
38,1945,1983,9,15.51,164.229996,958.8652224371373,6.406826697017465
38,1945,1983,10,16.33,165.809998,915.3704715248011,6.289440066559737
38,1945,1983,11,16.870001000000002,163.66000400000001,870.124447532635,6.162012646014703
38,1945,1983,12,17.440001000000002,166.490005,854.6444693437802,6.117083854294969
38,1946,1984,1,17.25,164.03999299999998,850.9564811594203,6.106275297974628
38,1946,1984,2,18.639999,162.740005,773.0687431903832,5.867932703462775
38,1946,1984,3,17.209999,158.190002,819.1749633454366,6.011403407199856
38,1946,1984,4,18.059998999999998,157.979996,774.750856852207,5.873295368832765
38,1946,1984,5,18.709999,161.679993,764.1368339998309,5.839287693220285
38,1946,1984,6,19.049999,153.240005,704.4095172918383,5.639989015191449
38,1946,1984,7,18.540001,153.199997,726.3214063472813,5.714728824338655
38,1946,1984,8,18.01,154.080002,755.524719600222,5.811393968441281
38,1946,1984,9,15.0,164.880005,999.2000333333333,6.511562597416476
38,1946,1984,10,14.92,164.619995,1003.351172922252,6.522128498315016
